u	C	S
-3.11311311311	-0.5504131568552375	-0.5886503466356285
-3.09309309309	-0.5671071089311789	-0.5776575062666158
-3.07307307307	-0.5813613752927854	-0.5636445555572627
-3.05305305305	-0.5926588553266572	-0.5471542535995007
-3.03303303303	-0.6006017929845553	-0.5288106180085047
-3.01301301301	-0.6049226515472101	-0.5092933074089934
-2.99299299299	-0.605489683704185	-0.4893110751120837
-2.97297297297	-0.6023072859214977	-0.46957533916150984
-2.95295295295	-0.5955114181040485	-0.45077483914890826
-2.93293293293	-0.5853605357570768	-0.4335522437150928
-2.91291291291	-0.5722226179161106	-0.41848344146339317
-2.89289289289	-0.5565589773909563	-0.40606009942517823
-2.87287287287	-0.5389056092711237	-0.39667591453122986
-2.85285285285	-0.5198528695322211	-0.3906168217341329
-2.83283283283	-0.5000242796088163	-0.38805526390893896
-2.81281281281	-0.4800552276786395	-0.3890484790814957
-2.79279279279	-0.46057228670606043	-0.3935406246392362
-2.77277277277	-0.44217379720787503	-0.4013684397155918
-2.75275275275	-0.42541227380632246	-0.4122700486204026
-2.73273273273	-0.41077909366466364	-0.42589643170231084
-2.71271271271	-0.39869181656781766	-0.4418250360842373
-2.69269269269	-0.3894843752133859	-0.4595749671208918
-2.67267267267	-0.3834002643605277	-0.4786231912077321
-2.65265265265	-0.3805887525178223	-0.49842119007666646
-2.63263263263	-0.3811040429547026	-0.518411533766283
-2.61261261261	-0.38490722450542925	-0.5380438814821734
-2.59259259259	-0.39187077878152216	-0.5567899737399592
-2.57257257257	-0.4017853502729245	-0.5741572425592265
-2.55255255255	-0.41436844005468276	-0.5897007360950092
-2.53253253253	-0.4292746525237305	-0.6030331270986565
-2.51251251251	-0.4461071073735263	-0.6138326483242174
-2.49249249249	-0.46442962505150454	-0.6218488700314847
-2.47247247247	-0.4837793020666519	-0.6269063029862585
-2.45245245245	-0.5036791112847706	-0.628905873073518
-2.43243243243	-0.5236501901415389	-0.627824369437446
-2.41241241241	-0.5432235147802368	-0.6237120159309189
-2.39239239239	-0.5619506987022107	-0.6166883549435846
-2.37237237237	-0.5794136988455137	-0.6069366630688974
-2.35235235235	-0.5952332583984281	-0.5946971395629561
-2.33233233233	-0.6090759625487805	-0.5802591214115316
-2.31231231231	-0.6206598293627362	-0.5639525835584013
-2.29229229229	-0.6297584018561286	-0.5461391801489641
-2.27227227227	-0.6362033480442962	-0.5272030733438062
-2.25225225225	-0.639885612516579	-0.5075417812945234
-2.23223223223	-0.640755195269841	-0.48755725724636667
-2.21221221221	-0.6388196607431119	-0.46764738845954956
-2.19219219219	-0.6341415020027119	-0.4481980777331468
-2.17217217217	-0.6268345017866348	-0.42957604274254313
-2.15215215215	-0.617059243733655	-0.4121224400699673
-2.13213213213	-0.605017933832966	-0.3961473925421097
-2.11211211211	-0.5909486942784236	-0.38192547101720997
-2.09209209209	-0.5751194899268844	-0.36969215570900765
-2.07207207207	-0.5578218419339961	-0.3596412780092099
-2.05205205205	-0.5393644744049301	-0.351923421975183
-2.03203203203	-0.5200670286043831	-0.3466452454785975
-2.01201201201	-0.500253965974693	-0.34386966465383123
-1.99199199199	-0.48024876645529746	-0.343616831836721
-1.97197197197	-0.4603685128969041	-0.34586582665341226
-1.95195195195	-0.4409189361988348	-0.3505569722388747
-1.93193193193	-0.4221899796022958	-0.35759468360424934
-1.91191191191	-0.404451924729113	-0.36685075274826
-1.89189189189	-0.3879521067937522	-0.3781679749961322
-1.87187187187	-0.37291223220909137	-0.39136402299558093
-1.85185185185	-0.35952629877026887	-0.4062354785296804
-1.83183183183	-0.3479591068986284	-0.42256193753712573
-1.81181181181	-0.3383453401703811	-0.4401101101762425
-1.79179179179	-0.3307891846055972	-0.4586378451507818
-1.77177177177	-0.32536444897297134	-0.47789801556573125
-1.75175175175	-0.3221151426569633	-0.49764221204997783
-1.73173173173	-0.3210564633863093	-0.517624197540488
-1.71171171171	-0.3221761442593521	-0.5376030867644995
-1.69169169169	-0.32543610792324273	-0.5573462219023949
-1.67167167167	-0.3307743753554809	-0.5766317240114448
-1.65165165165	-0.3381071773305123	-0.5952507074131136
-1.63163163163	-0.3473312181971935	-0.6130091512939388
-1.61161161161	-0.3583260439078116	-0.6297294291669225
-1.59159159159	-0.3709564691895263	-0.6452515025351392
-1.57157157157	-0.38507502220167883	-0.6594337900615623
-1.55155155155	-0.400524368850592	-0.6721537277679541
-1.53153153153	-0.4171396830186544	-0.6833080392669941
-1.51151151151	-0.4347509331976922	-0.6928127377961436
-1.49149149149	-0.4531850602997369	-0.7006028839017208
-1.47147147147	-0.47226802566466825	-0.7066321240596918
-1.45145145145	-0.4918267124189945	-0.7108720363657509
-1.43143143143	-0.5116906673002054	-0.7133113097367901
-1.41141141141	-0.5316936737952676	-0.7139547828977327
-1.39139139139	-0.5516751509095053	-0.7128223688426975
-1.37137137137	-0.5714813750533738	-0.7099478895185356
-1.35135135135	-0.5909665253890893	-0.7053778442419225
-1.33133133133	-0.609993555505071	-0.6991701338862122
-1.31131131131	-0.6284348964797478	-0.6913927612160383
-1.29129129129	-0.6461729982603235	-0.6821225259572229
-1.27127127127	-0.6631007178251729	-0.6714437313138817
-1.25125125125	-0.6791215638340626	-0.6594469167259528
-1.23123123123	-0.694149808415616	-0.6462276297362854
-1.21121121121	-0.708110477416618	-0.6318852479395778
-1.19119119119	-0.7209392308653251	-0.6165218601437326
-1.17117117117	-0.732582145604771	-0.6002412141108006
-1.15115115115	-0.7429954120568093	-0.5831477365783585
-1.13113113113	-0.7521449569081587	-0.5653456297074478
-1.11111111111	-0.7600060031906076	-0.5469380466707823
-1.09109109109	-0.7665625787826432	-0.5280263477919274
-1.07107107107	-0.7718069838119125	-0.5087094374765722
-1.05105105105	-0.7757392268086133	-0.48908318114201904
-1.03103103103	-0.7783664387691007	-0.46923990044939584
-1.01101101101	-0.7797022735550007	-0.44926794437157613
-0.990990990991	-0.779766302292496	-0.42925133298338014
